Identificador,Administracion,Estrato,Antiguedad,Remodelado,Area,habitaciones,Banos,Garajes,Elevadores,Inmueble,Parqueadero,Precio
217,242000,3,5,Si,71,3,2,1,1,Apartamento,Si,330000000
61,126400,3,10,No,51,2,2,0,0,Apartamento,No,175000000
55,50000,3,17,Si,62,3,2,0,1,Apartamento,Si,244100000
335,479000,5,18,Si,75,3,2,2,1,Apartamento,No,447400000
313,104000,3,4,Si,45,3,1,0,1,Apartamento,Si,175000000
103,150000,3,7,Si,38,2,1,0,2,Apartamento,Si,176500000
412,461000,5,34,No,72,3,2,1,1,Apartamento,Si,360000000
476,55000,2,17,No,50,3,1,0,0,Apartamento,No,127000000
92,119100,3,11,No,44,2,1,0,2,Apartamento,No,190000000
2,811893,4,14,Si,109,3,4,2,1,Apartamento,Si,495000000
331,67000,3,17,No,41,2,1,0,0,Casa,No,145800000
471,136000,2,17,No,72,3,3,1,0,Casa con conjunto cerrado,Si,270300000
288,171000,3,25,No,68,3,2,1,0,Apartamento,Si,239580000
81,75000,2,7,Si,47,2,1,0,0,Apartamento,Si,170000000
51,307000,4,15,Si,59,3,2,1,0,Apartamento,Si,291100000
417,67500,2,13,No,47,3,1,0,0,Apartamento,No,155000000
54,145600,3,7,Si,62,3,2,0,3,Apartamento,Si,190500000
67,170000,3,13,Si,59,3,2,0,1,Apartamento,Si,218421053
323,535000,5,26,No,70,2,2,1,1,Apartamento,Si,395600000
217,242000,3,5,Si,71,3,2,1,1,Apartamento,Si,330000000
125,160000,4,1,Si,56,2,2,1,1,Apartamento,Si,407982000
346,143100,3,9,No,48,2,1,0,2,Apartamento,Si,185000000
351,55000,2,13,Si,45,2,1,0,0,Apartamento,Si,118400000
339,350000,4,19,Si,76,3,2,1,1,Apartamento,Si,365000000
320,597000,5,24,No,105,3,3,1,1,Apartamento,Si,500000000
427,516200,6,17,Si,71,2,2,2,1,Apartamento,Si,492000000
144,50000,1,6,No,49,3,1,0,0,Apartamento,Si,103000000
46,41001,2,18,Si,38,2,1,0,0,Apartamento,Si,126000000
399,61300,2,18,Si,62,3,1,0,0,Casa con conjunto cerrado,Si,181000000
138,70000,2,26,No,60,3,2,0,0,Apartamento,No,150000000
374,374400,5,9,Si,76,2,3,1,1,Apartamento,Si,409000000
282,160600,4,12,No,61,3,2,0,0,Apartamento,Si,255000000
21,145000,3,9,No,47,3,2,1,1,Apartamento,Si,228400000
244,145000,2,8,No,62,3,2,0,3,Apartamento,Si,175670000
371,533000,4,15,No,83,3,2,1,1,Apartamento,Si,377400000
475,155000,2,10,No,57,2,1,0,0,Casa con conjunto cerrado,Si,190000000
7,282000,4,33,Si,90,3,3,1,1,Apartamento,Si,389300000
89,144800,3,10,Si,59,3,2,0,3,Apartamento,Si,174000000
203,300000,5,26,No,66,2,2,1,0,Apartamento,Si,350000000
460,80000,2,14,No,50,3,2,0,0,Apartamento,Si,141000000
130,130000,3,15,No,63,3,2,0,0,Apartamento,Si,287000000
260,420000,5,28,Si,77,2,2,1,1,Apartamento,Si,387000000
388,214400,3,1,No,59,2,2,1,2,Apartamento,Si,440000000
73,141200,3,6,Si,33,1,1,0,1,Apartamento,Si,151600000
380,175000,4,5,No,68,3,2,1,1,Apartamento,Si,321200000
468,84000,2,12,No,55,3,1,0,0,Apartamento,Si,139000000
22,90000,2,11,Si,45,3,2,0,0,Apartamento,Si,164000000
159,110000,2,13,No,59,3,2,0,0,Apartamento,Si,155000000
223,350000,4,30,No,89,3,2,1,2,Apartamento,No,360000000
333,125000,2,8,Si,59,3,2,0,3,Apartamento,Si,177000000
81,75000,2,7,Si,47,2,1,0,0,Apartamento,Si,170000000
31,175000,3,16,Si,70,3,2,0,1,Apartamento,Si,249400000
26,227000,3,4,No,77,3,2,1,4,Apartamento,Si,353300000
143,112600,2,5,Si,41,3,1,0,2,Apartamento,Si,170500000
474,108000,3,0,No,39,2,1,0,1,Apartamento,Si,195000000
142,130200,3,13,Si,59,2,2,0,0,Apartamento,Si,195000000
10,113000,2,5,No,38,2,1,0,0,Apartamento,Si,200000000
269,140000,3,31,Si,65,3,2,0,0,Apartamento,Si,263150000
46,41001,2,18,Si,38,2,1,0,0,Apartamento,Si,126000000
468,84000,2,12,No,55,3,1,0,0,Apartamento,Si,139000000
198,65000,2,12,No,48,3,2,0,0,Apartamento,Si,136500000
67,170000,3,13,Si,59,3,2,0,1,Apartamento,Si,218421053
4,529000,4,30,Si,77,2,2,1,1,Apartamento,No,444200000
140,144000,3,2,Si,42,1,1,0,1,Apartamento,No,216000000
135,142645,4,1,No,35,1,1,0,1,Apartamento,Si,220000000
391,187000,3,28,No,72,4,2,1,0,Casa con conjunto cerrado,Si,330000000
12,212000,3,27,Si,70,3,2,1,0,Apartamento,Si,301900000
241,400000,4,30,No,95,4,3,1,3,Apartamento,No,650000000
316,45000,2,8,No,49,3,1,0,0,Apartamento,Si,110000000
102,210000,4,20,Si,63,3,2,1,0,Apartamento,Si,302500000
121,327000,3,18,No,75,2,2,1,0,Apartamento,Si,317000000
405,400000,4,28,No,96,3,2,1,1,Apartamento,Si,486000000
33,86100,3,25,Si,39,2,1,0,0,Apartamento,Si,148600000
287,63600,2,12,No,41,2,1,0,0,Apartamento,Si,120000000
271,358000,3,19,Si,74,3,3,2,0,Casa,No,355000000
250,69000,3,17,No,37,2,1,0,0,Apartamento,Si,134000000
323,535000,5,26,No,70,2,2,1,1,Apartamento,Si,395600000
241,400000,4,30,No,95,4,3,1,3,Apartamento,No,650000000
164,437100,4,16,Si,110,3,2,1,1,Apartamento,Si,560000000
15,423000,4,27,Si,86,3,2,1,0,Apartamento,Si,329000000
31,175000,3,16,Si,70,3,2,0,1,Apartamento,Si,249400000
447,199000,4,10,No,55,2,2,1,1,Apartamento,Si,290000000
189,205000,4,6,Si,53,3,2,1,1,Apartamento,No,339870000
32,50000,3,17,Si,40,2,1,0,0,Casa con conjunto cerrado,Si,118900000
68,208000,2,13,Si,51,3,2,0,0,Apartamento,Si,170000000
477,816600,6,32,No,112,3,2,2,1,Apartamento,Si,500000000
253,173000,3,20,No,69,3,2,1,0,Apartamento,Si,240000000
193,601000,5,39,Si,54,2,1,1,1,Apartamento,No,357000000
229,45000,2,6,Si,50,2,1,0,0,Apartamento,Si,105500000
208,90000,3,20,No,49,3,1,0,0,Apartamento,No,152885000
116,300000,4,28,Si,63,3,2,1,0,Apartamento,Si,272000000
40,130400,3,4,Si,53,3,1,0,2,Apartamento,No,163600000
63,648000,6,11,Si,65,2,2,1,1,Apartamento,Si,472000000
466,69000,2,23,No,43,2,1,0,0,Apartamento,Si,132000000
51,307000,4,15,Si,59,3,2,1,0,Apartamento,Si,291100000
145,48000,1,10,No,45,2,1,0,0,Apartamento,No,98000000
427,516200,6,17,Si,71,2,2,2,1,Apartamento,Si,492000000
51,307000,4,15,Si,59,3,2,1,0,Apartamento,Si,291100000
228,268000,3,31,No,52,3,1,1,0,Apartamento,Si,224100000
349,49000,2,6,No,48,3,1,0,0,Apartamento,Si,125400000
49,105000,2,17,Si,53,2,1,0,0,Casa con conjunto cerrado,Si,156300000
388,214400,3,1,No,59,2,2,1,2,Apartamento,Si,440000000
475,155000,2,10,No,57,2,1,0,0,Casa con conjunto cerrado,Si,190000000
181,491400,5,8,No,105,3,2,2,1,Apartamento,Si,577000000
44,125300,3,2,Si,46,2,1,0,1,Apartamento,No,160400000
261,320000,3,30,No,65,3,2,1,0,Apartamento,No,340000000
456,212000,3,21,No,59,3,2,1,0,Apartamento,No,230000000
335,479000,5,18,Si,75,3,2,2,1,Apartamento,No,447400000
225,58000,2,14,No,44,2,1,0,0,Apartamento,No,123290000
156,103000,3,22,No,53,3,1,0,0,Apartamento,Si,165000000
181,491400,5,8,No,105,3,2,2,1,Apartamento,Si,577000000
381,60000,2,16,No,48,2,1,0,0,Casa con conjunto cerrado,Si,139000000
168,114000,3,10,No,55,3,2,0,1,Apartamento,Si,170000000
136,50000,2,12,No,41,2,1,0,0,Apartamento,Si,107100000
260,420000,5,28,Si,77,2,2,1,1,Apartamento,Si,387000000
129,160000,2,11,No,42,3,1,0,0,Apartamento,Si,110000000
68,208000,2,13,Si,51,3,2,0,0,Apartamento,Si,170000000
49,105000,2,17,Si,53,2,1,0,0,Casa con conjunto cerrado,Si,156300000
87,213000,4,33,No,51,2,1,1,0,Apartamento,No,211000000
443,495000,4,22,No,82,3,2,1,1,Apartamento,No,450000000
98,980000,6,37,Si,110,3,2,2,0,Apartamento,Si,564385000
426,364601,6,2,No,31,1,1,1,1,Apartamento,Si,376785000
344,52000,2,13,Si,45,2,1,0,0,Apartamento,Si,119000000
309,515000,4,29,Si,104,3,3,1,1,Apartamento,No,470000000
312,331527,3,4,No,40,1,1,0,1,Apartamento,Si,230000000
96,177000,4,12,No,51,3,1,0,0,Apartamento,Si,211060000
390,65500,2,11,No,42,3,1,0,0,Apartamento,Si,120700000
269,140000,3,31,Si,65,3,2,0,0,Apartamento,Si,263150000
214,193500,3,10,No,55,3,1,0,2,Apartamento,No,234000000
116,300000,4,28,Si,63,3,2,1,0,Apartamento,Si,272000000
281,102000,2,6,Si,47,2,1,0,1,Apartamento,No,166000000
443,495000,4,22,No,82,3,2,1,1,Apartamento,No,450000000
346,143100,3,9,No,48,2,1,0,2,Apartamento,Si,185000000
163,167000,3,11,Si,50,3,2,0,1,Apartamento,Si,180000000
400,84600,3,39,No,50,2,1,0,0,Apartamento,No,180000000
266,388500,5,32,Si,51,1,1,1,1,Apartamento,Si,356000000
269,140000,3,31,Si,65,3,2,0,0,Apartamento,Si,263150000
71,160400,3,5,Si,39,2,1,0,3,Apartamento,Si,183000000
367,110000,3,2,Si,53,3,1,0,1,Apartamento,Si,152000000
73,141200,3,6,Si,33,1,1,0,1,Apartamento,Si,151600000
154,274000,3,18,Si,83,3,2,1,0,Casa con conjunto cerrado,Si,334000000
158,464000,6,18,Si,61,1,2,1,1,Apartamento,Si,341100000
21,145000,3,9,No,47,3,2,1,1,Apartamento,Si,228400000
179,61200,2,9,Si,40,1,1,0,0,Apartamento,Si,132000000
222,816000,5,32,No,85,1,2,2,1,Apartamento,No,600000000
